Crop,Variety,Description,S_b_temp,S_t_time,Opt_temp,G_b_temp,G_t_time,Max_temp,F_b_temp,F_t_time,Sensitivity,R_growth,S_l_area,Index_green,Extinction,Radiation,Root_growth,S_crop,Index_n,Slope,Potential,Nitrogen,S_storage,S_htemp
Pigeon Pea,ICPL-87,,10,123,32,10,1098,45,10,705,1,0.001,0.0088,1,0.7,1.85,16,1,1,12500,100,0.038,1,1
Sorghum,CSV 15,,8,115,34,8,1300,40,8,770,1,0.004,0.0032,1,0.64,4,15,1,1,65000,28,0.02,1,1
Sorghum,CSH 18,,8,107,34,8,1520,40,8,680,1,0.004,0.0032,1,0.64,4,15,1,1,65000,28,0.02,1,1
Sorghum,COP7,,7.6,50,30,10,1720,42,10,434,1,0.009,0.0022,1,0.56,2.44,12,1,0.9,56000,23,0.016,1,1
Soybean,JS-335,,8,80,26,8,500,40,8,1070,1,0.005,0.0035,1,0.6,2,20,1,1,6500,150,0.062,1,1
Soybean,JS71-05,,8,80,26,8,490,40,8,1100,1,0.005,0.0035,1,0.6,2,20,1,1,6500,150,0.062,1,1
Soybean,Default,Most commonly grown variety of Soyabean growing region,8,80,26,8,500,40,8,1250,1,0.005,0.0035,1,0.6,1.8,20,1,1,13500,120,0.062,1,1
Wheat,HD2285,,3.6,70,25,4.5,750,40,7.5,393,1,0.008,0.0022,1,0.6,2.8,30,1,1,29000,42,0.02,1,1
Wheat,PBW154,,3.6,70,25,4.5,850,40,7.5,393,1,0.0075,0.0022,1,0.6,2.8,30,1,1,28000,45,0.02,1,1
Wheat,Default,Most commonly grown variety of Wheat growing region,3.6,70,25,4.5,800,40,7.5,373,1,0.005,0.002,1,0.6,2.75,25,1,1,30000,42,0.02,1,1
Wheat,Sonora 64,,3.6,70,25,4.5,857,40,7.5,393,1,0.008,0.00199,1,0.6,2.8,30,1,1,16400,41.9,0.02,1,1
Wheat,Kalyansona,,3.6,70,25,4.5,1068,40,7.5,393,1,0.008,0.00195,1,0.6,2.8,30,1,1,15000,42.8,0.02,1,1
Wheat,Sonalika,,3.6,60,25,4.5,885,40,7.5,393,1,0.008,0.0021,1,0.6,2.8,30,1,1,13700,54.5,0.02,1,1
Wheat,Moti,,3.6,65,25,4.5,912,40,7.5,393,1,0.008,0.0018,1,0.6,2.8,30,1,1,22100,48.8,0.02,1,1
Wheat,HD 2009,,3.6,70,25,4.5,967,40,7.5,393,1,0.008,0.002,1,0.6,2.8,30,1,1,19600,42,0.02,1,1
Wheat,HD 2204,,3.6,67,25,4.5,930,40,7.5,393,1,0.008,0.0019,1,0.6,2.8,30,1,1,17300,46.9,0.02,1,1
Wheat,WL 711,,3.6,68,25,4.5,1007,40,7.5,393,1,0.008,0.0018,1,0.6,2.8,30,1,1,14500,44.9,0.02,1,1
Wheat,KSML 3,,3.6,70,25,4.5,1077,40,7.5,393,1,0.008,0.0018,1,0.6,2.8,30,1,1,16600,42,0.02,1,1
Wheat,Raj 1482,,3.6,69,25,4.5,1012,40,7.5,393,1,0.008,0.0017,1,0.6,2.8,30,1,1,18000,43.4,0.02,1,1
Wheat,HD 2329,,3.6,67,25,4.5,1012,40,7.5,393,1,0.008,0.0019,1,0.6,2.8,30,1,1,18800,45.5,0.02,1,1
Wheat,HD 2270,,3.6,67,25,4.5,950,40,7.5,393,1,0.008,0.0018,1,0.6,2.8,30,1,1,13300,45.8,0.02,1,1
Wheat,HD 2428,,3.6,70,25,4.5,1085,40,7.5,393,1,0.008,0.0019,1,0.6,2.8,30,1,1,18200,42.9,0.02,1,1
Wheat,Raj 3077,,3.6,70,25,4.5,1065,40,7.5,393,1,0.008,0.002,1,0.6,2.8,30,1,1,16300,41.9,0.02,1,1
Wheat,CPAN 3004,,3.6,70,25,4.5,1045,40,7.5,393,1,0.008,0.002,1,0.6,2.8,30,1,1,16100,42.3,0.02,1,1
Wheat,xxxx,,3.6,75,25,4.5,780,40,7.5,393,1,0.008,0.0022,1,0.6,2.8,30,1,1,3000,42,0.02,1,1
